Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Source
884077,55,Female,Sweater,Clothing,95,Texas,L,Pink,Winter,4.1,No,Standard,No,No,5,Bank Transfer,Monthly,Synthetic Data
9327565,66,Male,Shoes,Footwear,24,Alaska,L,Cyan,Fall,4.3,No,Express,Yes,Yes,43,PayPal,Fortnightly,Synthetic Data
9387911,70,Male,Coat,Outerwear,56,Hawaii,M,Beige,Summer,3.8,No,Free Shipping,No,No,21,Bank Transfer,Every 3 Months,Synthetic Data
13624215,63,Female,Hoodie,Clothing,65,Rhode Island,L,Violet,Summer,2.8,No,Free Shipping,Yes,Yes,20,Debit Card,Quarterly,Synthetic Data
15153106,70,Male,Belt,Clothing,92,Minnesota,L,Charcoal,Fall,4.5,Yes,Standard,Yes,Yes,12,Debit Card,Monthly,Synthetic Data
2802754,65,Male,Dress,Clothing,44,Nevada,XL,Peach,Summer,4.7,No,Store Pickup,No,No,32,Bank Transfer,Monthly,Synthetic Data
14767746,70,Female,Coat,Outerwear,64,Massachusetts,L,Violet,Fall,4.6,No,Next Day Air,No,No,20,Bank Transfer,Fortnightly,Synthetic Data
15523651,29,Male,Hoodie,Footwear,39,Mississippi,L,Black,Winter,3.8,Yes,Store Pickup,Yes,Yes,13,Cash,Quarterly,Synthetic Data
12582448,69,Female,Jewelry,Accessories,27,Georgia,L,Charcoal,Fall,2.9,No,Standard,No,No,43,Credit Card,Annually,Synthetic Data
8354691,64,Male,Gloves,Accessories,30,Missouri,M,Olive,Summer,4.5,No,Store Pickup,No,No,22,Cash,Bi-Weekly,Synthetic Data
12759233,62,Female,Hat,Clothing,91,Florida,M,Black,Winter,3.8,No,Express,No,No,32,PayPal,Annually,Synthetic Data
4014341,41,Female,Shorts,Clothing,50,Louisiana,M,Cyan,Spring,4.8,No,Free Shipping,No,No,33,Cash,Monthly,Synthetic Data
11430001,52,Male,Coat,Footwear,56,Kansas,M,Silver,Summer,3.1,Yes,Next Day Air,Yes,Yes,28,PayPal,Weekly,Synthetic Data
3020872,50,Male,Belt,Clothing,93,Wyoming,S,Peach,Winter,2.9,No,Next Day Air,No,No,19,Bank Transfer,Quarterly,Synthetic Data
15568109,40,Male,Hoodie,Clothing,95,Alaska,M,Peach,Winter,3.1,No,2-Day Shipping,No,No,11,Cash,Bi-Weekly,Synthetic Data
5897921,60,Female,Belt,Footwear,44,North Carolina,S,Purple,Fall,3.7,No,2-Day Shipping,No,No,9,Credit Card,Annually,Synthetic Data
222057,55,Female,Sandals,Footwear,64,Oregon,M,Magenta,Winter,3.0,No,Free Shipping,No,No,3,PayPal,Monthly,Synthetic Data
11352226,70,Female,Shorts,Clothing,65,Texas,L,Green,Winter,4.8,No,Free Shipping,No,No,13,Venmo,Every 3 Months,Synthetic Data
1452068,40,Male,Scarf,Accessories,41,Wisconsin,L,Cyan,Summer,3.0,No,Next Day Air,Yes,Yes,31,PayPal,Monthly,Synthetic Data
13749034,64,Male,Sweater,Clothing,63,Delaware,M,Gold,Summer,3.0,No,Standard,No,No,44,Debit Card,Quarterly,Synthetic Data
10421324,30,Male,Shoes,Footwear,77,North Dakota,L,Violet,Fall,4.7,No,Store Pickup,No,No,12,Bank Transfer,Bi-Weekly,Synthetic Data
4263436,60,Male,Belt,Accessories,41,Pennsylvania,S,Turquoise,Winter,4.8,No,2-Day Shipping,Yes,Yes,9,PayPal,Monthly,Synthetic Data
13932616,31,Male,Belt,Accessories,55,New York,M,Peach,Summer,3.7,No,Store Pickup,No,No,33,Debit Card,Weekly,Synthetic Data
6852795,69,Male,Shirt,Outerwear,93,Idaho,XL,Olive,Fall,4.4,No,Standard,Yes,Yes,4,Debit Card,Annually,Synthetic Data
1435856,55,Male,Boots,Footwear,94,Utah,M,Magenta,Fall,3.0,Yes,2-Day Shipping,Yes,Yes,4,Debit Card,Weekly,Synthetic Data
8546608,66,Male,Shoes,Footwear,56,Hawaii,M,Olive,Spring,3.1,Yes,Free Shipping,Yes,Yes,4,Cash,Weekly,Synthetic Data
9813738,69,Male,T-shirt,Clothing,96,New Mexico,L,Silver,Fall,4.6,Yes,Standard,Yes,Yes,12,Debit Card,Quarterly,Synthetic Data
2861396,60,Female,Sunglasses,Accessories,95,Texas,M,Silver,Fall,3.9,No,2-Day Shipping,No,No,30,Credit Card,Every 3 Months,Synthetic Data
11207689,29,Male,Dress,Clothing,56,Tennessee,M,Maroon,Spring,4.7,No,Store Pickup,No,No,11,PayPal,Annually,Synthetic Data
6326800,41,Male,Pants,Footwear,92,Montana,S,Red,Summer,4.1,No,Next Day Air,Yes,Yes,10,Venmo,Monthly,Synthetic Data
9886066,68,Male,Hat,Accessories,92,Illinois,M,Yellow,Fall,4.3,No,Store Pickup,Yes,Yes,5,Cash,Bi-Weekly,Synthetic Data
10765236,42,Female,Shorts,Clothing,94,Idaho,M,Magenta,Summer,4.8,No,Store Pickup,No,No,11,PayPal,Every 3 Months,Synthetic Data
7972230,45,Male,Dress,Clothing,94,Maine,XL,Purple,Fall,4.7,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Monthly,Synthetic Data
11782664,63,Male,Jewelry,Accessories,28,New York,S,Beige,Winter,3.7,No,Next Day Air,Yes,Yes,22,PayPal,Monthly,Synthetic Data
8702272,69,Male,Dress,Clothing,59,Alabama,S,Black,Spring,2.9,No,Standard,Yes,No,43,Debit Card,Bi-Weekly,Synthetic Data
7944218,42,Female,Coat,Outerwear,31,Alaska,S,Olive,Fall,4.5,Yes,Free Shipping,No,Yes,4,PayPal,Fortnightly,Synthetic Data
4537080,59,Male,Handbag,Accessories,34,Iowa,XL,Green,Summer,4.5,Yes,Free Shipping,Yes,Yes,33,Credit Card,Quarterly,Synthetic Data
8051676,64,Male,Sweater,Clothing,74,Louisiana,M,Blue,Spring,3.7,No,Store Pickup,No,No,43,Bank Transfer,Weekly,Synthetic Data
15579412,68,Male,Jewelry,Accessories,92,Wyoming,M,Orange,Summer,3.0,Yes,Next Day Air,Yes,Yes,20,Venmo,Monthly,Synthetic Data
2366096,44,Male,Scarf,Outerwear,63,North Dakota,S,Peach,Summer,3.7,Yes,Store Pickup,Yes,Yes,45,Bank Transfer,Quarterly,Synthetic Data
10515634,41,Male,Skirt,Clothing,41,Washington,M,Yellow,Summer,4.3,No,Next Day Air,Yes,Yes,9,Cash,Monthly,Synthetic Data
9883425,50,Female,Gloves,Footwear,49,Arizona,S,Red,Spring,3.8,No,Next Day Air,No,No,4,Venmo,Quarterly,Synthetic Data
11381321,49,Female,Coat,Outerwear,82,Iowa,S,Brown,Winter,4.7,No,Standard,No,No,41,Cash,Bi-Weekly,Synthetic Data
14366737,52,Female,Jewelry,Accessories,39,Idaho,M,Cyan,Winter,4.6,No,Next Day Air,No,No,27,Cash,Bi-Weekly,Synthetic Data
1774575,64,Male,Coat,Accessories,25,Idaho,S,Black,Spring,4.6,No,Free Shipping,Yes,No,31,Debit Card,Quarterly,Synthetic Data
10117566,54,Male,Socks,Clothing,27,Montana,XL,Silver,Fall,4.9,Yes,Standard,Yes,Yes,33,Debit Card,Annually,Synthetic Data
8287738,58,Male,Socks,Clothing,30,California,XL,Turquoise,Winter,3.6,No,2-Day Shipping,No,No,22,PayPal,Monthly,Synthetic Data
951580,28,Male,Gloves,Accessories,95,Pennsylvania,M,Silver,Summer,4.7,Yes,Next Day Air,Yes,Yes,31,PayPal,Monthly,Synthetic Data
4641184,63,Female,Skirt,Clothing,42,Washington,M,Orange,Winter,3.0,No,Store Pickup,No,No,26,PayPal,Weekly,Synthetic Data
14045633,42,Male,Scarf,Accessories,67,North Carolina,L,Olive,Spring,3.6,Yes,Standard,Yes,Yes,42,PayPal,Annually,Synthetic Data
9910523,36,Male,Skirt,Accessories,31,Ohio,M,Olive,Fall,4.6,Yes,Store Pickup,No,Yes,43,Bank Transfer,Bi-Weekly,Synthetic Data
12009545,28,Male,Blouse,Footwear,93,Missouri,M,Purple,Winter,3.9,Yes,Express,Yes,Yes,20,PayPal,Quarterly,Synthetic Data
13852308,70,Female,Blouse,Clothing,63,Louisiana,M,Violet,Spring,4.5,No,Free Shipping,No,No,19,Venmo,Weekly,Synthetic Data
2945728,70,Female,Sunglasses,Accessories,29,Maryland,L,Brown,Winter,3.7,No,Free Shipping,No,No,21,PayPal,Weekly,Synthetic Data
8109962,46,Male,Dress,Accessories,28,Alabama,M,Orange,Summer,3.6,No,2-Day Shipping,No,No,35,Credit Card,Monthly,Synthetic Data
10949521,63,Female,T-shirt,Clothing,81,New Mexico,M,Maroon,Fall,3.0,No,Free Shipping,No,No,28,PayPal,Monthly,Synthetic Data
1390631,60,Male,Scarf,Accessories,94,Nebraska,M,Gray,Fall,4.7,No,Free Shipping,No,No,41,PayPal,Monthly,Synthetic Data
14397822,57,Female,Blouse,Clothing,57,North Dakota,XL,Violet,Summer,3.8,No,Store Pickup,No,No,44,Cash,Every 3 Months,Synthetic Data
8637878,63,Male,Shirt,Clothing,31,New York,L,Green,Winter,3.5,No,2-Day Shipping,No,No,13,Credit Card,Monthly,Synthetic Data
7966820,63,Male,Sunglasses,Accessories,79,Virginia,M,Blue,Summer,4.0,Yes,Free Shipping,Yes,Yes,30,PayPal,Quarterly,Synthetic Data
8652321,29,Male,Coat,Outerwear,92,Illinois,S,Violet,Summer,3.9,No,Express,Yes,Yes,27,PayPal,Quarterly,Synthetic Data
4577921,62,Male,Sandals,Footwear,47,Wyoming,M,Cyan,Summer,3.0,No,Next Day Air,Yes,Yes,4,Venmo,Every 3 Months,Synthetic Data
10358577,48,Male,Shoes,Footwear,28,Delaware,XL,Red,Fall,3.0,Yes,Next Day Air,Yes,Yes,43,Cash,Weekly,Synthetic Data
14774173,63,Male,Jacket,Outerwear,94,Texas,M,Indigo,Fall,4.9,Yes,Free Shipping,Yes,Yes,14,Bank Transfer,Fortnightly,Synthetic Data
15729983,70,Male,Jewelry,Accessories,59,Pennsylvania,M,Gray,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,43,PayPal,Bi-Weekly,Synthetic Data
15796916,61,Female,Sunglasses,Accessories,29,Illinois,M,Red,Fall,3.7,No,Express,No,No,43,Venmo,Monthly,Synthetic Data
7479940,70,Male,Jewelry,Accessories,93,New Hampshire,S,Olive,Spring,4.6,Yes,Store Pickup,Yes,Yes,20,Cash,Fortnightly,Synthetic Data
12204379,55,Female,Hoodie,Clothing,82,Ohio,L,Peach,Winter,3.6,No,Store Pickup,No,No,4,Venmo,Every 3 Months,Synthetic Data
16717351,40,Female,T-shirt,Clothing,81,Utah,M,Olive,Fall,3.8,No,Free Shipping,No,No,19,Bank Transfer,Weekly,Synthetic Data
15685824,63,Female,Coat,Outerwear,94,Virginia,M,Peach,Summer,4.5,No,Store Pickup,No,No,25,PayPal,Every 3 Months,Synthetic Data
2366754,68,Male,Jewelry,Accessories,33,Delaware,XL,Beige,Fall,2.9,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Quarterly,Synthetic Data
1391929,42,Male,Scarf,Accessories,40,Washington,S,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,44,Cash,Monthly,Synthetic Data
14763345,70,Male,Shoes,Footwear,95,Kansas,M,Violet,Summer,4.6,Yes,Store Pickup,Yes,Yes,22,Bank Transfer,Fortnightly,Synthetic Data
